topic,pdf,filter,pairs
40. Утро,40. Утро.pdf,cached,9
41. Полдень,41. Полдень.pdf,cached,4
42. Вечер,42. Вечер.pdf,cached,6
43. Ночь,43. Ночь.pdf,cached,7
44. Времена года,44. Времена года.pdf,cached,15
45. Год,45. Год.pdf,cached,7
46. Дни недели,46. Дни недели.pdf,cached,13
47. Час,47. Час.pdf,cached,23
48. Месяцы,48. Месяцы.pdf,cached,18
49. Погода,49. Погода.pdf,cached,18
"50. Ч. 1. В городе, селе","50. Ч. 1. В городе, в селе.pdf",cached,15
50. Ч. 2. Заблудиться,50. Ч. 2. Заблудиться.pdf,cached,15
50. Ч. 3. Мост,50. Ч. 3. Мост.pdf,cached,4
50. Ч. 4. Население,50. Ч. 4. Население.pdf,cached,5
50. Ч. 5. Население,50. Ч. 5. Памятник.pdf,cached,8
50. Ч. 6. Парк,50. Ч. 6. Парк.pdf,cached,11
50. Ч. 7. Площадь,50. Ч. 7. Площадь.pdf,cached,4
50. Ч. 8. Рынок,50. Ч. 8. Рынок.pdf,cached,8
50. Ч. 9. Улица,50. Ч. 9. Улица.pdf,cached,7
51. Ч.1. Адрес,51. Ч. 1-7. Почта.pdf,cached,36
51. Ч.2. Бандероль,51. Ч. 1-7. Почта.pdf,cached,36
"51. Ч.3. Конверт, бланк",51. Ч. 1-7. Почта.pdf,cached,36
51. Ч.4. Открытка,51. Ч. 1-7. Почта.pdf,cached,36
51. Ч.5. Письмо,51. Ч. 1-7. Почта.pdf,cached,36
"51. Ч.6. Почта, телеграф",51. Ч. 1-7. Почта.pdf,cached,36
51. Ч.7. Телеграмма,51. Ч. 1-7. Почта.pdf,cached,36
51. Ч.8. Парикмахерская,51. Ч. 8. Парикмахерская.pdf,cached,12
"52. Фотография, фототовары","52. Фтография, фототовары.pdf",cached,19
53. Ч.1. Ванна,"53. В гостинице, в гостях.pdf",cached,15
53. Ч.10. Шитье,"53. В гостинице, в гостях.pdf",cached,10
"53. Ч.2. Гость, гостиница","53. В гостинице, в гостях.pdf",cached,4
53. Ч.3. Дверь,"53. В гостинице, в гостях.pdf",cached,3
53. Ч.4. Окно,"53. В гостинице, в гостях.pdf",cached,2
53. Ч.5. Камин,"53. В гостинице, в гостях.pdf",cached,10
53. Ч.6. Швейцар,"53. В гостинице, в гостях.pdf",cached,8
53. Ч.7. Чемодан,"53. В гостинице, в гостях.pdf",cached,4
53. Ч.8. Стирка,"53. В гостинице, в гостях.pdf",cached,11
53. Ч.9. Чистка,"53. В гостинице, в гостях.pdf",cached,10
"54. Ч.1. Ресторан, буфет, столовая","54. Ч. 1. Ресторан, буфет, столовая.pdf",cached,23
54. Ч.10. Приправа и специи,54. Ч.8-11.pdf,cached,52
54. Ч.11. Счет,54. Ч.8-11.pdf,cached,52
"54. Ч.2. Завтрак, обед, ужин","54. Ч.2. Завтрак, обед, ужин.pdf",cached,25
54. Ч.3. Меню,"54. Ч.3, 4. Меню. Закуски.pdf",cached,25
54. Ч.4. Закуски,"54. Ч.3, 4. Меню. Закуски.pdf",cached,25
